Region Name,Region Type,Data Type,Dec 2003,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013
New York,state,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"327,700","327,000","326,400","325,700","324,000","322,000","320,600","319,500","318,000","316,000","313,200","310,800","309,100","307,500","305,700","305,500","296,400","281,700","273,800","274,200","273,100","272,000","270,500","269,000","268,100","267,400","267,100","266,800","266,000","264,800","263,700","263,000","262,300","261,600","260,500","259,400","258,400","257,300","256,000","254,900","253,900","252,600","251,500","250,600","249,800","248,900","247,700","246,400","245,400","244,500","243,400","242,600","241,700","240,600","239,800","239,400","238,800","238,200","237,900","237,900","238,000","238,200","238,400","238,700","238,900","238,900","238,800","239,200","239,800","240,600","241,400","242,300","243,200","244,000","244,900","245,900"
North Carolina,state,All Homes,"128,500","128,900","129,300","129,700","130,100","130,600","131,200","131,800","132,700","133,400","133,900","134,200","134,600","135,100","135,500","136,200","137,000","137,600","138,100","138,900","139,700","140,400","141,200","142,100","143,000","143,500","144,000","144,500","145,100","145,400","145,800","146,300","147,000","147,600","148,000","148,400","148,700","149,200","149,800","150,300","151,000","151,500","152,000","152,400","153,000","153,400","153,600","153,600","153,500","153,300","152,900","152,600","152,800","153,100","153,000","152,800","152,700","152,400","151,900","151,200","151,100","151,700","151,900","151,500","151,000","150,700","150,500","150,200","149,700","149,500","149,400","149,300","149,000","148,500","148,100","147,800","147,300","146,900","146,500","146,000","145,400","144,700","144,000","143,400","142,900","142,500","142,300","142,100","141,700","141,000","140,500","140,200","139,900","139,500","139,000","138,400","138,000","137,800","137,700","137,800","137,600","137,600","137,700","137,800","137,700","138,000","138,200","138,400","138,700","139,100","139,200","139,400","139,700","140,000","140,400","141,200","142,000","142,500","143,500","144,700"
North Dakota,state,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152,400","152,300","154,100","156,100","156,300","155,400","153,800","153,000","153,400","153,700","154,400","155,100","155,900","156,500","156,700","155,500","154,400","153,700","153,300","150,400","146,000","143,900","145,500","146,600","147,700","151,600","156,900","159,000","158,700","157,700","156,300","155,200","155,700","157,700","161,000","166,000","171,100","174,400","176,800","180,700","185,000","187,200","186,900","188,500","192,100","194,200","193,200","192,000","192,100","192,500","192,000","191,600"
Ohio,state,All Homes,"117,800","117,900","118,000","118,400","118,800","119,000","119,100","119,300","119,600","120,000","120,200","120,400","120,700","121,000","121,500","121,900","122,100","122,300","122,500","122,700","122,800","122,900","123,000","123,100","123,200","123,500","123,500","123,500","123,700","123,700","123,500","123,300","123,200","123,200","123,200","122,900","122,600","122,500","122,400","122,100","121,900","121,600","121,500","121,300","121,100","120,600","120,000","119,600","119,100","118,500","117,700","117,000","116,400","115,900","115,500","115,200","114,700","114,100","113,600","113,000","112,900","113,300","113,600","113,500","113,200","112,800","112,600","112,500","112,500","112,400","112,300","112,300","112,200","111,600","111,200","111,100","110,800","110,600","110,400","109,900","109,600","109,100","108,600","108,100","107,600","106,900","106,200","105,600","105,300","104,900","104,500","104,100","103,900","103,500","103,200","103,200","103,100","103,000","102,900","102,900","103,100","103,300","103,500","103,600","103,500","103,700","104,100","104,300","104,400","104,600","104,900","105,200","105,700","106,300","106,900","107,500","108,200","108,900","109,800","110,500"
Oklahoma,state,All Homes,"77,000","77,200","77,600","77,800","78,000","78,100","78,400","78,700","79,100","79,200","79,400","79,900","80,400","80,800","81,000","81,100","81,500","81,800","82,100","82,400","82,700","82,800","82,800","83,000","83,200","83,400","83,700","83,800","83,700","83,700","84,100","84,400","84,600","84,600","84,800","85,000","85,100","85,000","85,000","85,200","85,400","85,500","85,400","85,400","85,700","86,100","86,300","86,300","86,300","86,300","86,300","86,500","86,800","87,300","87,700","87,700","87,600","87,700","87,600","87,500","88,000","88,900","89,200","89,400","89,600","89,900","90,200","90,300","90,400","90,600","90,800","90,900","91,100","91,000","90,900","90,900","90,800","90,800","90,700","90,600","90,600","90,400","90,300","90,400","90,500","90,400","90,600","91,000","91,100","90,800","90,800","90,800","90,800","91,000","91,300","91,700","91,900","92,200","92,600","92,900","93,400","94,000","94,800","95,600","96,100","96,800","97,700","98,600","99,200","99,600","100,000","100,500","100,900","101,500","102,300","103,200","103,900","105,000","106,200","107,100"
Oregon,state,All Homes,"175,100","176,500","177,600","178,800","180,200","181,600","183,100","184,900","187,100","189,300","191,500","193,800","196,000","198,200","200,500","203,200","206,000","209,200","213,000","217,100","221,300","225,400","229,500","233,500","237,400","240,600","243,500","246,400","249,200","251,900","254,500","257,100","259,000","260,100","260,900","261,900","262,400","262,900","263,500","264,300","264,900","265,000","264,700","264,100","263,000","261,800","260,600","259,200","257,600","255,900","254,300","252,600","251,200","249,800","248,200","246,100","244,300","242,500","240,300","237,500","235,600","235,100","234,800","233,500","232,100","230,700","229,100","227,400","226,100","225,300","224,900","224,900","224,800","224,000","222,900","221,900","220,800","219,600","217,900","216,000","214,200","212,700","211,600","210,400","209,100","207,600","206,100","204,400","202,400","200,600","199,300","198,200","197,300","196,600","196,000","195,600","195,400","195,400","195,700","195,900","196,100","196,800","197,800","199,000","200,100","201,300","202,300","203,400","204,400","205,500","206,600","208,200","210,500","212,800","215,100","217,800","220,200","222,000","223,700","225,200"
Pennsylvania,state,All Homes,"120,200","120,900","121,600","122,300","123,000","124,000","125,300","126,200","127,100","128,000","128,900","129,700","130,600","131,500","132,600","133,600","134,800","136,000","137,300","138,800","140,400","141,700","142,900","144,000","144,900","145,800","146,400","146,900","147,400","148,100","148,800","149,400","149,800","150,500","151,200","151,600","151,800","151,900","152,100","152,600","153,100","153,400","153,500","153,500","153,500","153,500","153,500","153,500","153,400","153,200","152,900","152,900","153,000","152,900","152,800","152,700","152,700","152,600","152,200","151,700","152,000","153,000","153,500","153,400","153,400","153,000","152,300","152,100","152,100","151,900","151,700","151,800","151,800","151,300","150,900","150,900","150,800","150,400","150,100","149,700","149,000","148,500","148,200","147,900","147,400","146,900","146,500","146,200","145,700","145,100","144,500","144,000","143,500","143,100","142,800","142,400","141,900","141,500","141,300","141,200","141,000","141,200","141,500","141,500","141,400","141,500","141,600","142,000","142,200","142,400","142,900","143,600","144,100","144,600","145,200","145,600","146,000","146,400","146,700","147,100"
Rhode Island,state,All Homes,"245,400","248,600","251,600","254,400","257,300","260,500","263,800","266,900","269,700","272,600","275,700","279,000","281,800","284,300","287,000","289,600","291,600","292,800","293,300","293,800","294,500","295,300","296,000","296,300","295,900","295,200","294,500","294,300","294,900","295,500","295,400","294,500","293,100","291,600","290,300","289,000","287,900","286,800","285,600","284,600","283,400","281,900","280,300","278,800","277,200","275,300","273,300","271,600","269,900","268,000","265,300","261,900","257,900","254,000","250,600","247,600","244,600","241,400","237,900","234,500","232,400","231,900","232,200","231,700","231,100","230,400","229,900","229,600","229,800","230,100","230,300","230,200","230,000","229,600","229,600","229,700","229,900","230,200","230,100","229,200","228,100","227,100","226,200","225,000","223,200","221,200","219,800","218,600","216,600","214,800","213,200","211,900","210,900","210,100","209,500","208,700","207,400","206,100","205,100","204,200","203,600","203,100","203,100","203,500","203,700","203,700","203,900","204,500","205,100","205,300","205,400","205,900","206,800","207,800","208,800","209,900","210,900","211,400","211,400","211,200"
South Carolina,state,All Homes,"114,000","114,300","114,900","115,400","115,700","116,400","117,100","117,700","118,200","118,800","119,500","120,400","121,500","122,300","123,000","124,000","125,000","125,700","126,500","127,600","128,600","129,500","130,500","131,400","132,200","133,000","133,700","134,300","134,900","135,500","135,800","136,300","137,000","137,400","137,800","138,100","138,200","138,000","137,700","137,400","137,200","137,300","137,100","136,800","136,600","136,700","136,300","135,900","135,400","135,000","134,800","134,800","134,500","134,300","134,100","134,000","133,600","133,000","132,500","132,000","132,200","133,700","135,300","136,000","136,200","136,100","136,200","136,400","136,300","136,000","135,900","135,700","135,500","134,900","134,000","133,400","133,200","132,900","132,400","131,800","131,300","130,700","130,000","129,200","128,800","128,400","127,900","127,100","126,200","125,600","125,100","124,600","124,000","123,500","123,100","122,900","122,600","122,300","121,700","121,400","121,200","121,300","121,300","121,600","121,900","122,400","122,600","122,800","122,900","122,900","122,700","122,900","123,400","124,000","124,400","124,700","125,000","125,800","126,700","127,400"
South Dakota,state,All Homes,"119,000","118,500","118,600","119,000","119,700","119,800","120,100","120,700","121,300","121,600","122,000","122,500","123,600","124,200","124,500","125,100","125,700","125,900","126,400","127,100","127,900","128,600","128,400","128,900","130,200","130,800","131,000","131,900","132,600","132,500","132,100","132,400","133,200","134,100","135,600","137,200","137,200","136,400","137,000","138,600","139,400","140,400","140,700","139,200","137,600","137,000","135,800","134,800","134,900","135,200","135,600","135,800","136,100","136,100","136,100","136,700","138,000","139,200","140,200","140,900","142,500","144,900","146,400","146,600","146,600","147,100","147,800","147,500","146,200","145,500","146,000","146,900","147,200","147,300","146,800","145,800","145,000","144,400","144,000","143,800","143,300","142,300","141,500","140,600","139,800","139,400","139,400","139,700","140,200","140,100","139,400","139,400","139,500","139,200","138,800","139,000","139,400","140,000","140,300","140,100","139,900","140,900","141,900","143,500","145,200","145,800","145,500","145,400","145,400","145,400","145,800","146,400","147,000","147,800","149,700","151,100","151,800","153,100","154,100","154,300"
