Region Name,Region Type,Data Type,Dec 2003,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013
Tennessee,state,All Homes,"100,200","100,500","100,800","101,300","101,700","102,000","102,400","102,900","103,400","104,000","104,600","105,000","105,500","106,000","106,600","107,300","108,100","108,800","109,600","110,300","111,100","112,000","112,900","113,600","114,200","115,000","115,500","115,800","116,300","117,000","117,600","118,300","118,800","119,100","119,600","120,400","121,000","121,300","121,600","121,900","122,200","122,400","122,400","122,400","122,500","122,800","122,700","122,500","122,200","121,900","121,600","121,500","121,300","121,000","120,700","120,700","120,500","120,100","119,800","119,500","119,700","120,800","121,800","121,900","122,000","122,300","122,400","122,100","121,800","121,700","121,700","121,600","121,400","121,100","120,800","120,500","120,300","119,900","119,500","119,300","119,200","118,900","118,600","118,300","117,900","117,400","117,000","116,700","116,500","116,200","115,800","115,400","115,200","115,000","114,800","114,800","114,800","114,500","114,200","114,100","114,000","113,900","114,100","114,400","114,600","114,600","114,700","114,800","115,000","115,100","115,300","115,600","115,900","116,400","116,900","117,300","117,700","118,300","119,000","119,600"
Texas,state,All Homes,"107,600","109,400","112,300","114,600","116,300","117,300","118,100","118,800","119,500","120,300","120,700","120,600","120,900","121,100","121,000","121,200","121,900","122,700","122,200","120,700","119,700","120,000","121,300","123,600","124,300","123,600","124,600","127,000","127,100","126,500","127,100","128,900","129,000","128,700","129,700","131,800","132,800","133,600","132,500","131,300","132,000","133,300","133,500","133,700","134,100","134,400","133,800","133,300","133,400","132,900","131,300","129,500","128,200","126,500","125,500","124,400","123,800","124,000","125,100","124,800","125,000","126,500","128,500","129,500","130,100","130,500","131,000","131,500","131,900","131,900","131,700","131,600","131,200","130,900","130,800","130,400","129,900","129,800","129,900","129,700","129,600","129,400","129,000","128,600","128,200","128,100","126,900","125,400","125,300","125,900","126,000","126,100","127,300","127,800","127,100","125,900","125,700","125,600","126,000","126,400","126,500","126,300","126,600","127,600","128,600","129,400","130,200","131,300","132,100","132,500","133,400","134,800","135,800","136,600","137,300","137,000","136,400","136,400","136,200","135,800"
Utah,state,All Homes,"159,700","160,000","161,100","162,600","163,800","164,600","165,800","166,700","167,300","167,900","168,400","169,100","170,100","170,800","171,700","173,100","175,000","177,200","179,700","182,000","184,400","186,700","189,000","191,400","193,800","196,100","198,700","201,500","204,600","208,200","212,200","216,200","219,900","223,600","227,600","230,800","233,200","235,600","238,700","241,900","244,300","245,500","246,300","246,800","247,400","247,900","248,300","249,000","249,200","247,900","244,800","240,700","237,200","235,200","233,600","232,200","231,000","230,000","228,400","225,300","223,800","226,100","229,700","230,500","227,200","222,600","219,500","218,500","217,400","215,300","213,800","213,400","212,500","211,200","209,600","208,200","207,900","207,800","206,200","203,900","201,200","198,500","196,100","195,400","194,900","193,300","189,200","186,800","187,200","188,600","187,900","186,900","185,700","185,300","185,200","184,800","184,000","183,000","182,500","183,000","184,200","185,800","187,900","189,200","190,600","192,600","194,300","195,400","196,800","197,800","199,000","200,900","202,700","204,200","205,500","206,600","208,200","209,800","211,600","213,400"
Vermont,state,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217,200","218,300","218,400","216,600","215,000","214,600","215,400","216,300","218,900","220,900","219,600","217,500","217,000","216,600","216,800","216,200","215,600","216,400","217,200","216,700","218,200","219,900","219,600","218,800","219,200","219,000","218,500","216,900","215,600","214,800","214,200","213,000","213,100","213,500","212,300","210,500","209,100","212,500","217,200","221,000","222,200","219,000","211,300","207,600","208,400","209,400","209,600","209,400","210,900","211,800","212,500","213,400","214,900","216,300","218,900","221,900","224,100"
Virginia,state,All Homes,"181,300","183,500","185,900","188,300","190,900","193,600","196,900","200,500","204,100","207,700","211,400","215,100","219,000","222,700","226,500","230,200","234,100","237,700","241,600","245,900","250,300","253,500","256,000","258,400","260,300","261,300","262,200","263,000","263,900","264,800","265,700","266,400","267,000","266,800","266,000","265,400","265,300","265,400","265,400","265,300","265,300","265,200","263,600","260,200","255,900","255,300","257,400","257,900","255,700","253,800","251,800","249,700","247,400","245,000","242,600","240,500","238,700","236,400","233,500","231,000","229,700","229,000","228,000","226,400","225,000","223,900","223,000","222,500","222,100","221,300","220,200","219,400","218,800","218,200","217,600","217,100","216,700","216,400","215,700","215,000","214,600","214,200","213,400","212,400","211,700","210,900","210,400","210,100","209,500","208,400","207,500","207,200","207,000","206,400","205,700","205,200","205,100","204,900","204,800","204,800","204,900","205,100","205,300","205,600","206,400","207,300","208,100","208,600","209,000","209,500","210,500","211,800","213,100","214,500","216,200","218,000","219,400","220,100","220,500","221,100"
Washington,state,All Homes,"199,000","200,500","201,900","203,600","205,700","208,000","210,200","212,400","214,800","217,200","219,700","222,500","225,300","227,900","230,600","233,600","237,100","240,800","245,000","248,900","252,700","256,700","260,700","264,400","267,900","271,100","274,100","277,000","279,800","282,700","285,400","288,100","290,600","292,700","294,400","296,100","297,600","298,600","299,400","300,200","300,800","301,000","300,900","300,800","300,500","299,600","298,200","296,500","294,600","292,800","291,100","289,200","287,300","285,300","282,900","280,800","279,000","276,900","274,500","271,900","269,900","269,000","268,200","266,300","263,700","261,400","259,300","257,500","256,000","254,900","254,300","253,800","252,800","251,600","250,600","249,600","248,300","247,100","245,500","243,700","241,500","239,300","237,500","235,900","234,500","232,700","230,800","228,900","227,100","225,300","223,300","221,500","220,000","219,100","218,200","217,300","216,300","215,700","215,600","216,000","216,800","217,800","218,800","219,600","220,400","221,300","222,500","223,800","225,200","226,200","227,200","228,600","230,300","232,100","234,700","237,400","239,300","240,600","241,700","242,300"
Washington D.C.,state,All Homes,"272,400","277,000","282,300","287,800","293,100","298,500","304,500","311,200","318,000","325,400","332,400","338,100","343,000","347,700","352,100","356,700","361,200","366,100","372,000","377,300","380,800","383,400","387,000","391,800","395,600","398,000","399,500","400,500","400,900","400,800","399,800","398,500","397,800","397,300","396,800","396,100","396,100","396,400","397,200","398,300","398,700","397,800","396,600","395,800","395,600","395,200","393,800","391,300","388,700","386,200","383,800","381,300","379,500","378,100","376,200","373,500","370,600","367,800","365,800","364,000","362,100","360,200","358,900","358,200","357,100","355,100","353,400","352,400","351,200","349,700","349,100","349,200","349,700","350,300","350,500","349,700","349,200","349,500","350,300","351,200","351,900","352,300","352,200","352,000","351,600","350,900","350,500","350,400","350,000","349,700","349,200","348,700","348,800","349,600","351,000","352,700","354,800","357,400","360,100","362,600","364,900","367,200","370,100","373,600","377,100","380,700","384,200","387,700","391,600","395,100","398,200","402,400","407,600","413,200","418,700","424,200","429,500","434,000","437,600","440,500"
West Virginia,state,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,000","95,300","95,500","96,300","96,700","95,900","96,000","97,300","98,100","98,400","98,800","99,100","99,400","99,300","99,400","100,000","99,300","97,200","94,600","93,100","93,300","95,100","96,300","97,100","97,800","98,500","98,500","98,600","98,600","98,200","97,700","97,300","96,900","96,800","97,600","98,500","99,300","100,000","101,100","102,200","102,100","100,800","99,600","99,400","100,000","100,600","100,800","101,600","103,100","104,200","105,400","106,600"
Wisconsin,state,All Homes,"149,100","149,000","148,800","148,900","149,200","149,600","150,100","150,600","150,900","151,400","151,200","150,800","152,300","155,000","156,200","156,000","156,000","157,200","158,400","159,100","159,800","160,800","161,900","162,800","163,300","163,800","164,300","164,600","164,700","164,600","164,200","163,700","163,400","163,600","164,000","164,300","164,400","164,700","164,800","165,100","165,800","166,400","166,000","165,400","164,900","164,500","164,400","164,100","163,900","163,100","162,600","162,600","163,000","162,700","162,500","162,100","161,600","161,200","161,200","161,400","161,300","161,000","161,200","161,600","161,700","162,300","162,800","163,300","163,400","163,400","163,300","163,300","162,900","162,300","162,100","161,700","160,700","159,900","159,400","158,400","157,100","156,300","155,800","155,200","154,700","154,400","153,600","152,400","151,500","150,900","150,200","149,500","149,100","148,700","148,300","147,900","147,500","147,400","147,300","147,100","147,000","147,000","147,200","147,800","148,300","148,900","149,500","149,900","150,300","150,600","150,900","151,300","151,500","151,800","152,100","152,800","153,300","153,600","154,200","155,000"
Wyoming,state,All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210,500","210,900","210,900","211,400","209,700","206,800","206,200","207,300","206,700","205,600","205,200","204,600","203,700","202,200","199,700","197,500","195,400","193,200","189,300","185,700","184,800","187,700","187,000","183,000","180,700","181,500","184,000","187,800","188,900","187,100","186,100","186,700","189,000","190,900","191,500","191,600","191,800","192,300","193,600","194,600","194,000","191,000","188,200","185,800","182,500","178,700","177,400","179,400","182,900","183,800","183,900","185,100"
